"","Chemical","Cluster","Target","Dir1","Dir2"
"1","4,4-DDT","1","Insecticide",-0.013966185951042,-0.0229547115672128
"2","ABAMECTIN","1","Insecticide",-0.0101695935031759,-0.0184555707151329
"3","ACETOCHLOR","1","Herbicide",-0.00949587369425296,-0.0354915540368242
"4","BIXAFEN","2","Fungicide",-0.0412756690408955,0.0299086813878743
"5","BROMOXYNIL","2","Herbicide",-0.033664034708217,0.0263698859994654
"6","CAPTAN","1","Fungicide",0.00106597517797596,-0.0239586952037431
"7","CHLORDECON; KEPONE","3","Insecticide",0.063075211678401,-0.00144809607655992
"8","CHLOROTHALONIL","1","Fungicide",0.00301735255996415,-0.0179376153618082
"9","CLOSANTEL","3","Parasiticide",0.0735091415259937,0.0179614894441912
"10","CYPERMETHRIN (MIXTURE OF ISOMERS)","1","Insecticide",-0.0208383365419298,-0.0181829756466663
"11","CYPRODINIL","2","Fungicide",-0.0366811947108276,0.018368336982693
"12","DICHLOROPHEN","3","Multi-target",0.0804859813817626,0.012934923770262
"13","DINOCAP (MIXTURE OF ISOMERS)","1","Fungicide",0.0127462212289802,-0.0123995927670107
"14","DITHIANON","1","Fungicide",-0.00105845014975409,-0.0287430064517943
"15","DODIN","3","Fungicide",0.0805888172594775,0.0131122320131107
"16","EMAMECTIN BENZOATE","1","Insecticide",-0.00402782569206032,-0.031735338002627
"17","FENAZAFLOR","3","Insecticide, Acaricide",0.0783143994204945,0.013697662473037
"18","FENHEXAMID","2","Fungicide",-0.0240873429016365,0.0201509085513711
"19","FENPYROXIMATE","2","Insecticide, Acaricide",-0.0381185579983751,0.0301200192009632
"20","FLUAZINAM","3","Fungicide",0.0798099761377629,0.0124471201030009
"21","FLUBENDIAMID","1","Insecticide",-0.0095271444218851,-0.0350966525904518
"22","HEXACHLOROPHENE","3","Multi-target",0.0802229704976347,0.0130438504565481
"23","IMAZALIL","1","Fungicide",-0.0131829088405393,-0.0355678583398203
"24","LAMBDA-CYHALOTHRIN","2","Insecticide",-0.0502760800990354,0.0215381128940691
"25","METALAXYL","1","Fungicide",-0.0274629025211972,-0.0145759138612191
"26","METHAMIDOPHOS","1","Insecticide",-0.0141948127893198,-0.0167168747958435
"27","MGK 264 (MIXTURE OF ISOMERS)","2","Synergist",-0.0247449845567309,0.0214216722411679
"28","OXYFLUORFEN","2","Herbicide",-0.0364203524664565,0.0149176979993853
"29","PENTHIOPYRAD","2","Fungicide",-0.038567224957873,0.032264488443194
"30","PROCHLORAZ","1","Fungicide",-0.00209628134583926,-0.0151706530816138
"31","PROFENOFOS","2","Insecticide",-0.0246675814120855,0.0206470082459063
"32","SULFUR","1","Multi-target",-0.0149857567059663,-0.0215157282946077
"33","TEBUCONAZOLE","2","Fungicide",-0.0431881840542565,0.0179825625788057
"34","TRIFLOXYSTROBIN","2","Fungicide",-0.0201387678050957,0.0130641840078904
