"PS1",,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
"A","THIABENDAZOLE","DMSO","BIFENTHRIN","CAPTAN","PIRIMIPHOS-METHYL","FLUROXYPYR","INDOXACARB","TRIFLOXYSTROBIN","ACETOCHLOR","PROPICONAZOLE","NOVALURON","DMSO"
"B","ACETAMIPRID; N-(6-CHLORO-3-PYRIDYLMETHYL)-N-CYANO-N-METHYLACETAMIDINE","FENOXAPROP RACEMATE","ISOXAFLUTOLE","TRIADIMENOL A","HEXACHLOROPHENE","PIPERONYL BUTOXIDE","MALATHION","SPIROTETRAMAT","CLETHODIM (MIXTURE OF ISOMERS)","DMSO","DIURON","CYPRODINIL"
"C","empty","CHLORANTRANILIPROL","METRAFENONE","CARBOSULFAN","DMSO","PYRIPROXIFEN","DIFENOCONAZOL","FENAZAFLOR","DIFLUFENICAN","S-METOLACHLOR","PYRIDABEN","BUPIRIMATE"
"D","DMSO","TOLFENPYRAD","FLORASULAM","PYMETROZIN","PROCHLORAZ","PYRACLOSTROBIN","DMSO","4,4-DDT","CARBENDAZIM","TRICYCLAZOLE","ACLONIFEN","BAYTHROID (MIXTURE OF ISOMERS)"
"E","DIMETHENAMID","PHOSMET","PICOXYSTROBIN","DICAMBA","CHLORPYRIPHOS","DELTAMETHRIN","FOLPET","DMSO","PERMETHRIN (MIXTURE OF CIS AND TRANS ISOMERE)","FLUBENDIAMID","BIFENAZATE","PENDIMETHALIN"
"F","ETONFENPROX","BUPROFEZIN","METALAXYL","DMSO","FLUOPICOLIDE","SPINOSAD (MIXTURE OF SPINOSYN A UND D)","THIENCARBAZONE-METHYL","ISOPROTHIOLANE","FLUMIOXAZIN","LINDAN","CLOTHIANIDIN","BIXAFEN"
"G","DICHLORVOS; DDVP","LINURON","AMETOCTRADIN","CYPROCONAZOL (MIXTURE OF DIASTEREOISOMER)","MANDIPROPAMID","DINOTEFURAN","CHLORFENAPYR","MONOSULTAP","WARFARIN; COUMAFENE","FLONICAMID","CLOSANTEL","DMSO"
"H","FENBUCONAZOL","DMSO","FENPROPATHRIN","METRIBUZIN","MESOTRION","IMAZALIL","DIMETHOMORPH (MIXTURE OF E AND Z ISOMERS)","FLUPYRADIFURONE","OXYFLUORFEN","TEBUCONAZOLE","PINOXADEN","empty"
,,,,,,,,,,,,
"PS2",,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
"A","IPRODION","DMSO","MANCOZEB","FIPRONIL","METHOMYL","ATRAZINE","PROPANIL","CHLORMEQUAT CHLORIDE","CYANTRANILIPROLE","DIMETHOATE","IMAZAMOX","DMSO"
"B","SULFUR","IMIDACLOPRID","CHLORPROPHAM","CYPERMETHRIN (MIXTURE OF ISOMERS)","DINOCAP (MIXTURE OF ISOMERS)","ABAMECTIN","METALAXYL-M","AZOXYSTROBIN","SAFLUFENACIL","DMSO","EPOXICONAZOLE","PROPAMOCARB"
"C","BOSCALID","empty","DITHIANON","METSULFURON-METHYL","DMSO","PENCONAZOL","SPIROMESIFEN","FENPYROXIMATE","PENTHIOPYRAD","LAMBDA-CYHALOTHRIN","GLYPHOSATE","PROTHIOCONAZOLE"
"D","DMSO","NICOSULFURON","FLUTRIAFOL","EMAMECTIN BENZOATE","THIACLOPRID","QUINOXYFEN","DMSO","CARBARYL","THIAMETHOXAM","HALOXYFOP","FENHEXAMID","BENTAZON"
"E","THIOPHANATE-METHYL","HEXYTHIAZOX","FOMESAFEN","FLUXAPYROXAD","FENOBUCARB","FLUAZINAM","CHLORPYRIPHOS-METHYL","DMSO","DIFLUBENZURON","METHOXYFENOZIDE","FORMETANATE HYDROCHLORIDE","PROMETRYN"
"F","2-HYDROXYBIPHENYL","DICHLOROPHEN","CHLOROTHALONIL","DMSO","AMITRAZ; NSC 324552","PROSULFOCARB","BROMOXYNIL","PROFENOFOS","FLUFENACET","FLUDIOXONIL","DIAZINON","METAMITRON"
"G","PIRIMICARB","CYMOXANIL","PYRIMETHANIL","IMAZETHAPYR","2,4-D; 2,4-DICHLOROPHENOXYACETIC ACID","CYHALOFOP-BUTYL","DODIN","ACEPHATE","CLOMAZONE","CHLORDECON; KEPONE","CLOPYRALID ","DMSO"
"H","MYCLOBUTANIL","DMSO","FENTHION","SPIRODICLOFEN","MEPIQUAT CHLORIDE","METHAMIDOPHOS","FLUOPYRAM","MGK 264 (MIXTURE OF ISOMERS)","BENOXACOR","IPROVALICARB","MONOCROTOPHOS","DMSO"
